а	a
фараоні	f a r a o nj i
фараонів	f a r a o nj i w
фарбою	f a r b o j u
фарес	f a r e s
фареса	f a r e s a
фаресового	f a r e s o w o h o
фарисей	f a r y s e j
фарисейських	f a r y s e j sj k y x
фарисейської	f a r y s e j sj k o j i
фарисейські	f a r y s e j sj kj i
фарисею	f a r y s e j u
фарисея	f a r y s e j a
фарисеям	f a r y s e j a m
фарисеями	f a r y s e j a m y
фарисеєвім	f a r y s e j e wj i m
фарисеєм	f a r y s e j e m
фарисеї	f a r y s e j i
фарисеїв	f a r y s e j i w
фелет	f e l e t
фелікс	f e lj i k s
фелікса	f e lj i k s a
феліксе	f e lj i k s e
феліксові	f e lj i k s o wj i
фера	f e r a
фест	f e s t
феста	f e s t a
фесте	f e s t e
филимонові	f y l y m o n o wj i
филип	f y l y p
филипах	f y l y p a x
филипи	f y l y p y
филипів	f y l y pj i w
филистею	f y l y s t e j u
филистея	f y l y s t e j a
филистеєю	f y l y s t e j e j u
филистимлян	f y l y s t y m lj a n
филистимлянам	f y l y s t y m lj a n a m
филистимлянами	f y l y s t y m lj a n a m y
филистимлянах	f y l y s t y m lj a n a x
филистимляни	f y l y s t y m lj a n y
филистимлянин	f y l y s t y m lj a n y n
филистимлянина	f y l y s t y m lj a n y n a
филистимлянином	f y l y s t y m lj a n y n o m
филистимлянські	f y l y s t y m lj a nj sj kj i
филистимська	f y l y s t y m sj k a
филистимськая	f y l y s t y m sj k a j a
филистимський	f y l y s t y m sj k y j
филистимським	f y l y s t y m sj k y m
филистимських	f y l y s t y m sj k y x
филистимського	f y l y s t y m sj k o h o
филистимському	f y l y s t y m sj k o m u
филистимської	f y l y s t y m sj k o j i
филистимські	f y l y s t y m sj kj i
филистимській	f y l y s t y m sj kj i j
фиркання	f y r k a nj nj a
флегонта	f l e h o n t a
флейти	f l e j t y
флейті	f l e j tj i
фома	f o m a
форму	f o r m u
формую	f o r m u j u
формує	f o r m u j e
фортецю	f o r t e tsj u
фортеця	f o r t e tsj a
фортеці	f o r t e tsj i
фортуната	f o r t u n a t a
фронт	f r o n t
фрігію	f r i hj i j u
фріґію	f r i i j u
фріґії	f r i i j i
фундаменти	f u n d a m e n t y
фурах	f u r a x
фут	f u d
фіву	fj i w u
фігел	fj i h e l
філолога	fj i l o l o h a
філософів	fj i l o s o fj i w
філософією	fj i l o s o fj i j e j u
філядельфії	fj i lj a d e lj fj i j i
філіт	fj i lj i t
фініка	fj i nj i k a
фінікію	fj i nj i kj i j u
фінікії	fj i nj i kj i j i
фіртку	fj i r t k u
фіґ	fj i
фіґа	fj i a
фіґи	fj i y
фіґове	fj i o w e
фіґовим	fj i o w y m
фіґовницею	fj i o w n y ts e j u
фіґовниць	fj i o w n y tsj
фіґовниця	fj i o w n y tsj a
фіґовниці	fj i o w n y tsj i
фіґового	fj i o w o h o
фіґові	fj i o wj i
фіґовім	fj i o wj i m
фіґою	fj i o j u
фіґу	fj i u
фіґурами	fj i u r a m y
фіґури	fj i u r y
фіґі	fj i i
хабар	x a b a r
хабара	x a b a r a
хабарна	x a b a r n a
хабарника	x a b a r n y k a
хават	x a w a t
хаваццініїного	x a w a ts tsj i nj i j i n o h o
хавор	x a w o r
хаворі	x a w o rj i
хаврану	x a w r a n u
хавіла	x a wj i l a
хавіли	x a wj i l y
хавілу	x a wj i l u
хадад	x a d a d
хадатта	x a d a t t a
хадаша	x a d a sh a
хадда	x a d d a
хаддон	x a d d o n
хаддона	x a d d o n a
хадлаїв	x a d l a j i w
хадрах	x a d r a x
хадід	x a dj i d
хадіду	x a dj i d u
хазаї	x a z a j i
хазаїл	x a z a j i l
хазаїла	x a z a j i l a
хазаїлового	x a z a j i l o w o h o
хазаїлом	x a z a j i l o m
хазо	x a z o
хазяям	x a zj a a m
хазяї	x a zj a j i
хай	x a j
хакуфиних	x a k u f y n y x
хакуфині	x a k u f y nj i
халак	x a l a k
халах	x a l a x
халаху	x a l a x u
халдейське	x a l d e j sj k e
халдейський	x a l d e j sj k y j
халдейським	x a l d e j sj k y m
халдейського	x a l d e j sj k o h o
халдейському	x a l d e j sj k o m u
халдейської	x a l d e j sj k o j i
халдейську	x a l d e j sj k u
халдейські	x a l d e j sj kj i
халдейцям	x a l d e j tsj a m
халдею	x a l d e j u
халдея	x a l d e j a
халдеям	x a l d e j a m
халдеями	x a l d e j a m y
халдеях	x a l d e j a x
халдеї	x a l d e j i
халдеїв	x a l d e j i w
халкидон	x a l k y d o n
халхул	x a l x u l
халі	x a lj i
хам	x a m
хама	x a m a
хамат	x a m a t
хамата	x a m a t a
хаматеянина	x a m a t e a n y n a
хаматовому	x a m a t o w o m u
хамату	x a m a t u
хаматянина	x a m a tj a n y n a
хаматі	x a m a tj i
хамаш	x a m a sh
хаммат	x a m m a t
хаммон	x a m m o n
хаммот	x a m m o t
хаммуїл	x a m m u j i l
хамових	x a m o w y x
хамові	x a m o wj i
хамовій	x a m o wj i j
хамовім	x a m o wj i m
хамотський	x a m o t sj k y j
хамоту	x a m o t u
хамран	x a m r a n
хамул	x a m u l
хамула	x a m u l a
хамулів	x a m u lj i w
хамутал	x a m u t a l
хамуталь	x a m u t a lj
ханаан	x a n a a n
ханаанеян	x a n a a n e j a n
ханаанеяни	x a n a a n e j a n y
ханаанеянин	x a n a a n e j a n y n
ханаанеянина	x a n a a n e j a n y n a
ханаанеянином	x a n a a n e j a n y n o m
ханаанеянки	x a n a a n e j a n k y
ханаанська	x a n a a nj sj k a
ханаанський	x a n a a nj sj k y j
ханаанським	x a n a a nj sj k y m
ханаанських	x a n a a nj sj k y x
ханаанського	x a n a a nj sj k o h o
ханаанському	x a n a a nj sj k o m u
ханаанською	x a n a a nj sj k o j u
ханаанської	x a n a a nj sj k o j i
ханаанську	x a n a a nj sj k u
ханаанські	x a n a a nj sj kj i
ханаанській	x a n a a nj sj kj i j
ханаанськім	x a n a a nj sj kj i m
ханаанці	x a n a a nj tsj i
ханаанів	x a n a a nj i w
ханан	x a n a n
ханана	x a n a n a
хананейське	x a n a n e j sj k e
хананеян	x a n a n e j a n
хананеянка	x a n a n e j a n k a
хананеї	x a n a n e j i
хананеїв	x a n a n e j i w
хананеїла	x a n a n e j i l a
хананових	x a n a n o w y x
хананові	x a n a n o wj i
ханані	x a n a nj i
хананію	x a n a nj i j u
хананія	x a n a nj i j a
хананієвого	x a n a nj i j e w o h o
хананії	x a n a nj i j i
хананіїного	x a n a nj i j i n o h o
ханесу	x a n e s u
ханнатону	x a n n a t o n u
ханне	x a n n e
ханніїл	x a nj nj i j i l
ханох	x a n o x
ханохів	x a n o xj i w
ханун	x a n u n
хануна	x a n u n a
ханунові	x a n u n o wj i
хапав	x a p a w
хапай	x a p a j
хапайте	x a p a j t e
хапалась	x a p a l a sj
хапали	x a p a l y
хапались	x a p a l y sj
хапати	x a p a t y
хапають	x a p a j u tj
хапаються	x a p a j u tsj tsj a
хапаючи	x a p a j u tsh y
хапає	x a p a j e
харади	x a r a d y
хараді	x a r a dj i
харан	x a r a n
харана	x a r a n a
харану	x a r a n u
харані	x a r a nj i
харашім	x a r a shj i m
харвона	x a r w o n a
харвоні	x a r w o nj i
харесету	x a r e s e t u
харешеті	x a r e sh e tj i
харнефер	x a r n e f e r
хародом	x a r o d o m
хародянин	x a r o dj a n y n
харошет	x a r o sh e t
хару	x a r u
харумафів	x a r u m a fj i w
харуца	x a r u ts a
хархасового	x a r x a s o w o h o
хархаїн	x a r x a j i n
хархурових	x a r x u r o w y x
хархурові	x a r x u r o wj i
харч	x a r tsh
харшиних	x a r sh y n y x
харшині	x a r sh y nj i
харші	x a r shj i
харім	x a rj i m
харіма	x a rj i m a
харімових	x a rj i m o w y x
харімового	x a rj i m o w o h o
харіму	x a rj i m u
харімів	x a rj i mj i w
харіф	x a rj i f
харіфових	x a rj i f o w y x
харґол	x a r o l
хасад	x a s a d
хасар	x a s a r
хасор	x a s o r
хасриного	x a s r y n o h o
хассува	x a s s u w a
хасуфині	x a s u f y nj i
хасуфіних	x a s u fj i n y x
хат	x a t
хата	x a t a
хатат	x a t a t
хати	x a t y
хаттиш	x a t t y sh
хаттуш	x a t t u sh
хаттілових	x a tj tj i l o w y x
хаттілові	x a tj tj i l o wj i
хату	x a t u
хатітиних	x a tj i t y n y x
хатіфиних	x a tj i f y n y x
хатіфині	x a tj i f y nj i
хафараїм	x a f a r a j i m
хахаліїн	x a x a lj i j i n
хахіла	x a xj i l a
хацар	x a ts a r
хацармавета	x a ts a r m a w e t a
хацероту	x a ts e r o t u
хацероті	x a ts e r o tj i
хацор	x a ts o r
хацора	x a ts o r a
хацорський	x a ts o r sj k y j
хацорського	x a ts o r sj k o h o
хацору	x a ts o r u
хацорі	x a ts o rj i
хаццон	x a ts ts o n
хаці	x a tsj i
хашав	x a sh a w
хашавна	x a sh a w n a
хашавнея	x a sh a w n e j a
хашавнеїн	x a sh a w n e j i n
хашавію	x a sh a wj i j u
хашавія	x a sh a wj i j a
хашавії	x a sh a wj i j i
хашбаддана	x a sh b a d d a n a
хашмони	x a sh m o n y
хашмоні	x a sh m o nj i
хашува	x a sh u w a
хашум	x a sh u m
хашумових	x a sh u m o w y x
хашшув	x a sh sh u w
хашшува	x a sh sh u w a
хашшувів	x a sh sh u wj i w
хаїла	x a j i l a
хаґав	x a a w
хаґавиних	x a a w y n y x
хаґавині	x a a w y nj i
хаґавових	x a a w o w y x
хаґґі	x a i
хаґґійя	x a i j a
хаґґіт	x a i t
хаґґітин	x a i t y n
хаґґіїв	x a i j i w
хвала	x w a l a
хвалах	x w a l a x
хвалена	x w a l e n a
хвалений	x w a l e n y j
хвали	x w a l y
хвалив	x w a l y w
хвалився	x w a l y w sj a
хвалили	x w a l y l y
хвалилося	x w a l y l o sj a
хвалимось	x w a l y m o sj
хвалимося	x w a l y m o sj a
хвалите	x w a l y t e
хвалитеся	x w a l y t e sj a
хвалити	x w a l y t y
хвалитиме	x w a l y t y m e
хвалитимете	x w a l y t y m e t e
хвалитиму	x w a l y t y m u
хвалитимуть	x w a l y t y m u tj
хвалитись	x w a l y t y sj
хвалитися	x w a l y t y sj a
хвалить	x w a l y tj
хвалиться	x w a l y tsj tsj a
хвалишся	x w a l y sj sj a
хвало	x w a l o
хвалою	x w a l o j u
хвалу	x w a l u
хвальба	x w a lj b a
хвалю	x w a lj u
хвалюся	x w a lj u sj a
хвалять	x w a lj a tj
хваляться	x w a lj a tsj tsj a
хвалячи	x w a lj a tsh y
хвалячися	x w a lj a tsh y sj a
хваління	x w a lj i nj nj a
хваліте	x w a lj i t e
хваліть	x w a lj i tj
хваліться	x w a lj i tsj tsj a
хвилево	x w y l e w o
хвилини	x w y l y n y
хвилину	x w y l y n u
хвиль	x w y lj
хвильку	x w y lj k u
хвилю	x w y lj u
хвилювалися	x w y lj u w a l y sj a
хвилювалося	x w y lj u w a l o sj a
хвилюються	x w y lj u j u tsj tsj a
хвилюється	x w y lj u j e tsj tsj a
хвилям	x w y lj a m
хвилями	x w y lj a m y
хвилі	x w y lj i
хвора	x w o r a
хворе	x w o r e
хворий	x w o r y j
хворим	x w o r y m
хворих	x w o r y x
хвороб	x w o r o b
хвороба	x w o r o b a
хворобах	x w o r o b a x
хвороби	x w o r o b y
хворобою	x w o r o b o j u
хворобу	x w o r o b u
хворобі	x w o r o bj i
хворого	x w o r o h o
хворост	x w o r o s t
хворою	x w o r o j u
хворої	x w o r o j i
хвору	x w o r u
хворував	x w o r u w a w
хворували	x w o r u w a l y
хворі	x w o rj i
хворіб	x w o rj i b
хворів	x w o rj i w
хворість	x w o rj i sj tj
хворістю	x w o rj i sj tj u
хворіє	x w o rj i j e
хвоста	x w o s t a
хвостах	x w o s t a x
хвости	x w o s t y
хвостом	x w o s t o m
хвілі	x wj i lj i
хвіст	x wj i s t
хевер	x e w e r
хевера	x e w e r a
хеверона	x e w e r o n a
хеверів	x e w e rj i w
хеврон	x e w r o n
хеврона	x e w r o n a
хевронових	x e w r o n o w y x
хевронового	x e w r o n o w o h o
хевронові	x e w r o n o wj i
хевронський	x e w r o nj sj k y j
хевронських	x e w r o nj sj k y x
хевронського	x e w r o nj sj k o h o
хеврону	x e w r o n u
хевроні	x e w r o nj i
хевронівця	x e w r o nj i w tsj a
хевронівців	x e w r o nj i w tsj i w
хевроніїв	x e w r o nj i j i w
хевці	x e w tsj i
хезеїв	x e z e j i w
хезйонового	x e z j o n o w o h o
хезір	x e zj i r
хезіра	x e zj i r a
хел	x e l
хелал	x e l a l
хелбану	x e l b a n u
хелби	x e l b y
хелбону	x e l b o n u
хелдай	x e l d a j
хелдая	x e l d a j a
хелдаєві	x e l d a j e wj i
хелев	x e l e w
хелед	x e l e d
хелека	x e l e k a
хелеків	x e l e kj i w
хелес	x e l e s
хелефу	x e l e f u
хелец	x e l e ts e
хелеца	x e l e ts a
хелкай	x e l k a j
хелкат	x e l k a t
хелонового	x e l o n o w o h o
хелонів	x e l o nj i w
хемдан	x e mj d a n
хенададових	x e n a d a d o w y x
хенададові	x e n a d a d o wj i
хенададів	x e n a d a dj i w
хенеянина	x e n e j a n y n a
хенові	x e n o wj i
херес	x e r e s
хересу	x e r e s u
хересі	x e r e sj i
херет	x e r e t
хереш	x e r e sh
хермон	x e r m o n
хермонська	x e r m o nj sj k a
хермону	x e r m o n u
херувим	x e r u w y m
херувима	x e r u w y m a
херувимам	x e r u w y m a m
херувимами	x e r u w y m a m y
херувимах	x e r u w y m a x
херувиме	x e r u w y m e
херувими	x e r u w y m y
херувимом	x e r u w y m o m
херувимі	x e r u w y mj i
херувимів	x e r u w y mj i w
хесед	x e s e d
хесіл	x e sj i l
хета	x e t a
хетлону	x e t l o n u
хетовим	x e t o w y m
хетових	x e t o w y x
хетові	x e t o wj i
хефер	x e f e r
хефера	x e f e r a
хеферового	x e f e r o w o h o
хеферський	x e f e r sj k y j
хеферу	x e f e r u
хеферів	x e f e rj i w
хецрав	x e ts r a w
хецрон	x e ts r o n
хецрона	x e ts r o n a
хецронова	x e ts r o n o w a
хецронового	x e ts r o n o w o h o
хецронові	x e ts r o n o wj i
хецроновій	x e ts r o n o wj i j
хецрону	x e ts r o n u
хецронів	x e ts r o nj i w
хешбон	x e sh b o n
хешбоне	x e sh b o n e
хешбонський	x e sh b o nj sj k y j
хешбонського	x e sh b o nj sj k o h o
хешбонському	x e sh b o nj sj k o m u
хешбонські	x e sh b o nj sj kj i
хешбону	x e sh b o n u
хешбоні	x e sh b o nj i
хешмон	x e sh m o n
хижак	x y zh a k
хижаками	x y zh a k a m y
хижаки	x y zh a k y
хиже	x y zh e
хижий	x y zh y j
хижого	x y zh o h o
хижому	x y zh o m u
хижі	x y zhj i
хилиться	x y l y tsj tsj a
хистом	x y s t o m
хитався	x y t a w sj a
хитали	x y t a l y
хитались	x y t a l y sj
хиталися	x y t a l y sj a
хиталось	x y t a l o sj
хитати	x y t a t y
хитатися	x y t a t y sj a
хитають	x y t a j u tj
хитаються	x y t a j u tsj tsj a
хитає	x y t a j e
хитається	x y t a j e tsj tsj a
хитаєш	x y t a j e sh
хитнувся	x y t n u w sj a
хитона	x y t o n a
хитони	x y t o n y
хитрий	x y t r y j
хитрих	x y t r y x
хитро	x y t r o
хитрого	x y t r o h o
хитрості	x y t r o sj tj i
хитрощах	x y t r o sh tsh a x
хитрощі	x y t r o sh tshj i
хитрощів	x y t r o sh tshj i w
хитрунів	x y t r u nj i w
хитрує	x y t r u j e
хитрість	x y t rj i sj tj
хитрістю	x y t rj i sj tj u
хитріший	x y t rj i sh y j
хлептали	x l e p t a l y
хлептати	x l e p t a t y
хлепче	x l e p tsh e
хлоп	x l o p
хлопець	x l o p e tsj
хлопц	x l o p tsj
хлопцеве	x l o p tsj e w e
хлопцеві	x l o p ts e wj i
хлопцем	x l o p ts e m
хлопця	x l o p tsj a
хлопцям	x l o p tsj a m
хлопцями	x l o p tsj a m y
хлопці	x l o p tsj i
хлопців	x l o p tsj i w
хлопчак	x l o p tsh a k
хлопче	x l o p tsh e
хлопчик	x l o p tsh y k
хлопчика	x l o p tsh y k a
хлопчиків	x l o p tsh y kj i w
хлопчина	x l o p tsh y n a
хлоїних	x l o j i n y x
хліб	x lj i b
хліба	x lj i b a
хлібами	x lj i b a m y
хліби	x lj i b y
хлібна	x lj i b n a
хлібне	x lj i b n e
хлібний	x lj i b n y j
хлібних	x lj i b n y x
хлібного	x lj i b n o h o
хлібною	x lj i b n o j u
хлібної	x lj i b n o j i
хлібну	x lj i b n u
хлібні	x lj i b nj i
хлібній	x lj i b nj i j
хлібом	x lj i b o m
хліборобові	x lj i b o r o b o wj i
хліборобство	x lj i b o r o b s t w o
хліборобів	x lj i b o r o bj i w
хлібців	x lj i b tsj i w
хлібі	x lj i b i
хлібів	x lj i b i w
хмар	x m a r
хмара	x m a r a
хмарам	x m a r a m
хмарами	x m a r a m y
хмарах	x m a r a x
хмари	x m a r y
хмарний	x m a r n y j
хмарного	x m a r n o h o
хмарою	x m a r o j u
хмару	x m a r u
хмарі	x m a rj i
хмизу	x m y z u
ховав	x o w a w
ховава	x o w a w a
ховавових	x o w a w o w y x
ховався	x o w a w sj a
ховай	x o w a j
ховайся	x o w a j sj a
ховайтеся	x o w a j t e sj a
ховайїні	x o w a j j i nj i
ховала	x o w a l a
ховали	x o w a l y
ховались	x o w a l y sj
ховалися	x o w a l y sj a
ховання	x o w a nj nj a
ховати	x o w a t y
ховатимуть	x o w a t y m u tj
ховатись	x o w a t y sj
ховатися	x o w a t y sj a
ховаю	x o w a j u
ховають	x o w a j u tj
ховаються	x o w a j u tsj tsj a
ховаючися	x o w a j u tsh y sj a
ховає	x o w a j e
ховається	x o w a j e tsj tsj a
ховаєш	x o w a j e sh
ховаєшся	x o w a j e sj sj a
ховаїні	x o w a j i nj i
хови	x o w y
ховрах	x o w r a x
ходеш	x o d e sh
ходжу	x o dzh u
ходи	x o d y
ходив	x o d y w
ходила	x o d y l a
ходили	x o d y l y
ходило	x o d y l o
ходимо	x o d y m o
ходите	x o d y t e
ходити	x o d y t y
ходитиме	x o d y t y m e
ходитимеш	x o d y t y m e sh
ходитиму	x o d y t y m u
ходитимуть	x o d y t y m u tj
ходить	x o d y tj
ходиш	x o d y sh
ходом	x o d o m
ходу	x o d u
ходші	x o d shj i
ходять	x o dj a tj
ходячи	x o dj a tsh y
ходячих	x o dj a tsh y x
ході	x o dj i
ходім	x o dj i m
ходімо	x o dj i m o
ходіння	x o dj i nj nj a
ходіте	x o dj i t e
ходіть	x o dj i tj
хозе	x o z e
холми	x o l m y
холмів	x o l mj i w
холод	x o l o d
холодна	x o l o d n a
холоднеча	x o l o d n e tsh a
холодний	x o l o d n y j
холодного	x o l o d n o h o
холоднокровний	x o l o d n o k r o w n y j
холодної	x o l o d n o j i
холодні	x o l o dj nj i
холодок	x o l o d o k
холоду	x o l o d u
холоді	x o l o dj i
холон	x o l o n
хома	x o m a
хомер	x o m e r
хомера	x o m e r a
хомером	x o m e r o m
хомеру	x o m e r u
хомерів	x o m e rj i w
хому	x o m u
хомі	x o mj i
хоразіне	x o r a zj i n e
хорем	x o r e m
хоремський	x o r e m sj k y j
хорешу	x o r e sh u
хореші	x o r e shj i
хореянами	x o r e j a n a m y
хореянина	x o r e a n y n a
хорив	x o r y w
хориву	x o r y w u
хориві	x o r y wj i
хорма	x o r m a
хорми	x o r m y
хормі	x o r mj i
хоробами	x o r o b a m y
хоробрий	x o r o b r y j
хоробрим	x o r o b r y m
хоробрими	x o r o b r y m y
хоробрих	x o r o b r y x
хоробро	x o r o b r o
хороброго	x o r o b r o h o
хоробрі	x o r o b rj i
хоробрість	x o r o b rj i sj tj
хоробрістю	x o r o b rj i sj tj u
хоромах	x o r o m a x
хорон	x o r o n
хоронаїмській	x o r o n a j i m sj kj i j
хорони	x o r o n y
хоронитель	x o r o n y t e lj
хоронителю	x o r o n y t e lj u
хоронить	x o r o n y tj
хорону	x o r o n u
хоронянин	x o r o nj a n y n
хоронянина	x o r o nj a n y n a
хороша	x o r o sh a
хороше	x o r o sh e
хороший	x o r o sh y j
хорошим	x o r o sh y m
хороших	x o r o sh y x
хорошого	x o r o sh o h o
хорошої	x o r o sh o j i
хорошу	x o r o sh u
хороші	x o r o shj i
хору	x o r u
хорх	x o r x
хорянина	x o rj a n y n a
хорі	x o rj i
хоріїв	x o rj i j i w
хоса	x o s a
хоси	x o s y
хотама	x o t a m a
хотять	x o tj a tj
хотячи	x o tj a tsh y
хотів	x o tj i w
хотівши	x o tj i w sh y
хотіла	x o tj i l a
хотіли	x o tj i l y
хотіння	x o tj i nj nj a
хофні	x o f nj i
хофру	x o f r u
хоч	x o tsh
хоча	x o tsh a
хоче	x o tsh e
хочем	x o tsh e m
хочемо	x o tsh e m o
хочете	x o tsh e t e
хочеш	x o tsh e sh
хочу	x o tsh u
хочуть	x o tsh u tj
хоґла	x o l a
хоґли	x o l y
храм	x r a m
храма	x r a m a
храмах	x r a m a x
храми	x r a m y
храмки	x r a m k y
храмова	x r a m o w a
храмовий	x r a m o w y j
храмових	x r a m o w y x
храмові	x r a m o wj i
храмом	x r a m o m
храму	x r a m u
храмі	x r a mj i
хребет	x r e b e t
хребтами	x r e b t a m y
хребті	x r e b tj i
хресної	x r e s n o j i
хрест	x r e s t
хреста	x r e s t a
хрестом	x r e s t o m
хресті	x r e sj tj i
хризоліт	x r y z o lj i t
хризоліта	x r y z o lj i t a
хризолітом	x r y z o lj i t o m
хризоліту	x r y z o lj i t u
хрисопрас	x r y s o p r a s
христа	x r y s t a
христе	x r y s t e
христи	x r y s t y
христив	x r y s t y w
христився	x r y s t y w sj a
христивши	x r y s t y w sh y
христились	x r y s t y l y sj
христилися	x r y s t y l y sj a
христитель	x r y s t y t e lj
христителя	x r y s t y t e lj a
христити	x r y s t y t y
христитиме	x r y s t y t y m e
христитись	x r y s t y t y sj
христитися	x r y s t y t y sj a
христить	x r y s t y tj
христиш	x r y s t y sh
християнами	x r y s t y j a n a m y
християнин	x r y s t y j a n y n
християнином	x r y s t y j a n y n o m
христова	x r y s t o w a
христове	x r y s t o w e
христовий	x r y s t o w y j
христовим	x r y s t o w y m
христових	x r y s t o w y x
христового	x r y s t o w o h o
христовому	x r y s t o w o m u
христовою	x r y s t o w o j u
христової	x r y s t o w o j i
христову	x r y s t o w u
христові	x r y s t o wj i
христовій	x r y s t o wj i j
христовім	x r y s t o wj i m
христом	x r y s t o m
христос	x r y s t o s
христу	x r y s t u
христячи	x r y sj tj a tsh y
христі	x r y sj tj i
христів	x r y sj tj i w
хрищення	x r y sh tsh e nj nj a
хрищенням	x r y sh tsh e nj nj a m
хрищенні	x r y sh tsh e nj nj i
хрищу	x r y sh tsh u
хрищусь	x r y sh tsh u sj
хрищуся	x r y sh tsh u sj a
хробак	x r o b a k
хронік	x r o nj i k
хроніки	x r o nj i k y
хроніці	x r o nj i tsj i
хто	x t o
хтобудь	x t o b u dj
хтонебудь	x t o n e b u dj
хтось	x t o sj
худе	x u d e
худзи	x u dz y
худих	x u d y x
худоба	x u d o b a
худоби	x u d o b y
худобин	x u d o b y n
худобина	x u d o b y n a
худобини	x u d o b y n y
худобиною	x u d o b y n o j u
худобину	x u d o b y n u
худобо	x u d o b o
худобою	x u d o b o j u
худобу	x u d o b u
худобі	x u d o bj i
худою	x u d o j u
худі	x u dj i
худість	x u dj i sj tj
худішим	x u dj i sh y m
хуккоку	x u k k o k u
хукок	x u k o k
хул	x u l
хулди	x u l d y
хумта	x u m t a
хуппи	x u p p y
хуппім	x u p pj i m
хуппіма	x u p pj i m a
хур	x u r
хура	x u r a
хурай	x u r a j
хурам	x u r a m
хурамовими	x u r a m o w y m y
хурамові	x u r a m o wj i
хурового	x u r o w o h o
хуртовина	x u r t o w y n a
хуртовини	x u r t o w y n y
хурчать	x u r tsh a tj
хурі	x u rj i
хурів	x u rj i w
хустка	x u s t k a
хустки	x u s t k y
хусткою	x u s t k o j u
хустку	x u s t k u
хустці	x u sj tj tsj i
хутко	x u t k o
хутчій	x u t tshj i j
хутчіш	x u t tshj i sh
хуфама	x u f a m a
хуфамів	x u f a mj i w
хуцоту	x u ts o t u
хушай	x u sh a j
хушам	x u sh a m
хушанин	x u sh a n y n
хушатянин	x u sh a tj a n y n
хушая	x u sh a j a
хушаїв	x u sh a j i w
хуші	x u shj i
хушім	x u shj i m
хіба	xj i b a
хібащо	xj i b a sh tsh o
хіввеян	xj i w w e j a n
хіввеяни	xj i w w e j a n y
хіввеянин	xj i w w e a n y n
хіввеянина	xj i w w e a n y n a
хівеянина	xj i w e a n y n a
хід	xj i d
хіддекел	xj i d d e k e l
хізкі	xj i z kj i
хізкійя	xj i z kj i j a
хізкійїних	xj i z kj i j j i n y x
хійлкійї	xj i j l kj i j j i
хілен	xj i l e n
хілкійю	xj i l kj i j j u
хілкійя	xj i l kj i j a
хілкійї	xj i l kj i j j i
хілкійїн	xj i l kj i j j i n
хілкійїного	xj i l kj i j j i n o h o
хіосу	xj i o s u
хіра	xj i r a
хірам	xj i r a m
хірама	xj i r a m a
хірамовими	xj i r a m o w y m y
хірамові	xj i r a m o wj i
хірамом	xj i r a m o m
хіроту	xj i r o t u
хітон	xj i t o n
хітона	xj i t o n a
хітонах	xj i t o n a x
хітони	xj i t o n y
хіттейка	xj i t t e j k a
хіттейських	xj i t t e j sj k y x
хіттеян	xj i t t e j a n
хіттеяника	xj i t t e j a n y k a
хіттеянин	xj i t t e a n y n
хіттеянина	xj i t t e a n y n a
хіттеянка	xj i t t e j a n k a
хіттянин	xj i tj tj a n y n
хіттянина	xj i tj tj a n y n a
хіттійських	xj i tj tj i j sj k y x
хіттіянок	xj i tj tj i j a n o k
хіцро	xj i ts r o
хіїл	xj i j i l
цаананнімі	ts a a n a nj nj i m i
цаанану	ts a a n a n u
цаананімі	ts a a n a nj i mj i
цалафів	ts a l a fj i w
цалмон	ts a l m o n
цалмони	ts a l m o n y
цалмоні	ts a l m o nj i
цалмунна	ts a l m u n n a
цалмунни	ts a l m u n n y
цалмунною	ts a l m u n n o j u
цалмунну	ts a l m u n n u
цалтянин	ts a l tj a n y n
цар	ts a r
царева	ts a r e w a
цареве	ts a r e w e
царевий	ts a r e w y j
царевим	ts a r e w y m
царевими	ts a r e w y m y
царевих	ts a r e w y x
царевичу	ts a r e w y tsh u
царевого	ts a r e w o h o
царевому	ts a r e w o m u
царевої	ts a r e w o j i
цареву	ts a r e w u
цареві	ts a r e wj i
царевій	ts a r e wj i j
царедворець	ts a r e d w o r e tsj
царедворця	ts a r e d w o r tsj a
царем	ts a r e m
царетаном	ts a r e t a n o m
царице	ts a r y ts e
царицею	ts a r y ts e j u
царицин	ts a r y ts y n
цариць	ts a r y tsj
царицю	ts a r y tsj u
цариця	ts a r y tsj a
цариці	ts a r y tsj i
царств	ts a r s t w
царства	ts a r s t w a
царствам	ts a r s t w a m
царствами	ts a r s t w a m y
царствах	ts a r s t w a x
царство	ts a r s t w o
царством	ts a r s t w o m
царству	ts a r s t w u
царстві	ts a r s t wj i
царська	ts a r sj k a
царське	ts a r sj k e
царський	ts a r sj k y j
царським	ts a r sj k y m
царськими	ts a r sj k y m y
царських	ts a r sj k y x
царського	ts a r sj k o h o
царському	ts a r sj k o m u
царською	ts a r sj k o j u
царської	ts a r sj k o j i
царську	ts a r sj k u
царські	ts a r sj kj i
царській	ts a r sj kj i j
цартані	ts a r t a nj i
царю	ts a rj u
царював	ts a rj u w a w
царювала	ts a rj u w a l a
царювали	ts a rj u w a l y
царюванню	ts a rj u w a nj nj u
царювання	ts a rj u w a nj nj a
царюванням	ts a rj u w a nj nj a m
царювати	ts a rj u w a t y
царюватиме	ts a rj u w a t y m e
царюватимуть	ts a rj u w a t y m u tj
царюй	ts a rj u j
царюють	ts a rj u j u tj
