a	a1_T1
tượt	t ua2_T6 t
tạ	t a1_T6
tạc	t a1_T6 k
tại	t ai_T6
tạm	t a1_T6 m
tạnh	t a1_T6 nh
tạo	t ao_T6
tạp	t a1_T6 p
tạt	t a1_T6 t
tả	t a1_T4
tải	t ai_T4
tản	t a1_T4 n
tảng	t a1_T4 ng
tấc	t a3_T3 k
tấm	t a3_T3 m
tấn	t a3_T3 n
tấp	t a3_T3 p
tất	t a3_T3 t
tấu	t au3_T3
tầm	t a3_T2 m
tần	t a3_T2 n
tầng	t a3_T2 ng
tầu	t au3_T2
tẩm	t a3_T4 m
tẩy	t ay3_T4
tận	t a3_T6 n
tập	t a3_T6 p
tật	t a3_T6 t
tắc	t a2_T3 k
tắm	t a2_T3 m
tắt	t a2_T3 t
tặng	t a2_T6 ng
tẹt	t e1_T6 t
tẻ	t e1_T4
tế	t e2_T3
tết	t e2_T3 t
tề	t e2_T2
tể	t e2_T4
tệ	t e2_T6
tỉ	t i_T4
tỉa	t i_T4 a1_T1
tỉnh	t i_T4 nh
tỉu	t iu_T4
tị	t i_T6
tịch	t i_T6 ch
tịnh	t i_T6 nh
tọc	t o1_T6 k
tỏ	t o1_T4
tỏa	t oa_T4
tỏi	t oi_T4
tố	t o2_T3
tốc	t o2_T3 k
tối	t oi2_T3
tốn	t o2_T3 n
tống	t o2_T3 ng
tốp	t o2_T3 p
tốt	t o2_T3 t
tồi	t oi2_T2
tồn	t o2_T2 n
tổ	t o2_T4
tổn	t o2_T4 n
tổng	t o2_T4 ng
tộ	t o2_T6
tộc	t o2_T6 k
tội	t oi2_T6
tột	t o2_T6 t
tớ	t o3_T3
tới	t oi3_T3
tớp	t o3_T3 p
tờ	t o3_T2
tợ	t o3_T6
tợn	t o3_T6 n
tụ	t u1_T6
tục	t u1_T6 k
tụng	t u1_T6 ng
tụy	t u1_T6 i_T1
tủy	t uy_T4
tứ	t u2_T3
tức	t u2_T3 k
từ	t u2_T2
từng	t u2_T2 ng
tử	t u2_T4
tửa	t ua2_T4
tửu	t uu2_T4
tự	t u2_T6
tựa	t ua2_T6
tựu	t uu2_T6
u	u1_T1
um	u1_T1 m
un	u1_T1 n
ung	u1_T1 ng
uy	uy_T1
uyển	uy_T1 e2_T4 n
uùt	u1_T1 u1_T2 t
uûa	u1_T1 u1_T1 a1_T1
uûi	u1_T1 u1_T1 i_T1
uế	u1_T1 e2_T3
uốn	ua_T3 n
uống	ua_T3 ng
uổng	ua_T4 ng
va	j a1_T1
vai	j ai_T1
van	j a1_T1 n
vang	j a1_T1 ng
vanh	j a1_T1 nh
vau	j au_T1
vay	j ay_T1
ve	j e1_T1
ven	v e1_T1 n
vi	j i_T1
via	j i_T1 a1_T1
vim	j i_T1 m
vin	j i_T1 n
vinh	j i_T1 nh
viên	j ie2_T1 n
viếng	j ie2_T3 ng
viết	j ie2_T3 t
viền	j ie2_T2 n
việc	j ie2_T6 k
viện	j ie2_T6 n
việt	j ie2_T6 t
vo	j o1_T1
voi	j oi_T1
vong	j o1_T1 ng
vu	j u1_T1
vua	j ua_T1
vui	j ui_T1
vun	j u1_T1 n
vung	j u1_T1 ng
vuông	j ua_T1 ng
vuốt	j ua_T3 t
vuợt	j u1_T1 o3_T6 t
và	j a1_T2
vài	j ai_T2
vàm	j a1_T2 m
vàn	v a1_T2 n
vàng	j a1_T2 ng
vành	j a1_T2 nh
vào	j ao_T2
vày	j ay_T2
vá	j a1_T3
vác	j a1_T3 k
vách	j a1_T3 ch
vái	j ai_T3
ván	j a1_T3 n
váng	j a1_T3 ng
váo	v ao_T3
váp	v a1_T3 p
vát	j a1_T3 t
váy	j ay_T3
vâng	v a3_T1 ng
vây	j ay3_T1
vã	j a1_T5
vãi	j ai_T5
vãn	j a1_T5 n
vén	j e1_T3 n
vét	j e1_T3 t
vê	v e2_T1
vênh	j e2_T1 nh
vì	j i_T2
ví	j i_T3
vía	j i_T3 a1_T1
vích	j i_T3 ch
vít	v i_T3 t
vò	j o1_T2
vòi	j oi_T2
vòm	j o1_T2 m
vòng	j o1_T2 ng
vó	j o1_T3
vóc	v o1_T3 k
vót	j o1_T3 t
vô	j o2_T1
vôi	j oi2_T1
võ	j o1_T5
võng	j o1_T5 ng
vùa	j ua_T2
vùi	j ui_T2
vùng	j u1_T2 ng
vú	j u1_T3
văn	j a2_T1 n
văng	j a2_T1 ng
vĩ	j i_T5
vũng	j u1_T5 ng
vơ	j o3_T1
vương	j ua2_T1 ng
vướng	j ua2_T3 ng
vườn	j ua2_T2 n
vượng	j ua2_T6 ng
vượt	j ua2_T6 t
vạ	j a1_T6
vạc	v a1_T6 k
vạch	j a1_T6 ch
vạn	j a1_T6 n
vạng	j a1_T6 ng
vạt	j a1_T6 t
vạy	j ay_T6
vả	j a1_T4
vải	j ai_T4
vảy	j ay_T4
vấn	j a3_T3 n
vấp	v a3_T3 p
vấu	j au3_T3
vấy	j ay3_T3
vần	j a3_T2 n
vầng	v a3_T2 ng
vầy	j ay3_T2
vẫn	j a3_T5 n
vận	j a3_T6 n
vật	j a3_T6 t
vậy	j ay3_T6
vắn	v a2_T3 n
vắng	j a2_T3 ng
vắt	j a2_T3 t
vằn	j a2_T2 n
vằng	v a2_T2 ng
vẳng	v a2_T4 ng
vặn	j a2_T6 n
vặt	j a2_T6 t
vẹn	j e1_T6 n
vẹo	j eo_T6
vẹt	j e1_T6 t
vẻ	j e1_T4
vẽ	j e1_T5
vế	j e2_T3
vết	j e2_T3 t
về	j e2_T2
vệ	j e2_T6
vện	v e2_T6 n
vỉ	v i_T4
vị	j i_T6
vịn	j i_T6 n
vịnh	j i_T6 nh
vịt	j i_T6 t
vọi	v oi_T6
vọng	j o1_T6 ng
vọt	j o1_T6 t
vỏ	j o1_T4
vỏng	j o1_T4 ng
vốc	j o2_T3 k
vốn	j o2_T3 n
vồ	j o2_T2
vỗ	j o2_T5
vội	j oi2_T6
vớ	j o3_T3
với	j oi3_T3
vớt	j o3_T3 t
vời	j oi3_T2
vở	j o3_T4
vỡ	j o3_T5
vợ	j o3_T6
vụ	j u1_T6
vụn	j u1_T6 n
vụng	j u1_T6 ng
vụt	j u1_T6 t
vừa	j ua2_T2
vừng	j u2_T2 ng
vững	j u2_T5 ng
vựa	j ua2_T6
vực	j u2_T6 k
xa	x a1_T1
xai	x ai_T1
xam	x a1_T1 m
xan	x a1_T1 n
xang	x a1_T1 ng
xanh	x a1_T1 nh
xao	x ao_T1
xay	x ay_T1
xe	x e1_T1
xem	x e1_T1 m
xen	x e1_T1 n
xi	x i_T1
xia	x i_T1 a1_T1
xim	x i_T1 m
xin	x i_T1 n
xinh	x i_T1 nh
xiêu	x ieu_T1
xiếc	x ie2_T3 k
xiến	x ie2_T3 n
xiết	x ie2_T3 t
xiềng	x ie2_T2 ng
xiểm	x ie2_T4 m
xoa	x oa_T1
xoay	x oa_T1 i_T1
xoi	x oi_T1
xong	x o1_T1 ng
xoàng	x oa_T2 ng
xu	x u1_T1
xua	x ua_T1
xui	x ui_T1
xung	x u1_T1 ng
xuyến	x uy_T1 e2_T3 n
xuân	x u1_T1 a3_T1 n
xuôi	x uoi2_T1
xuýt	x uy_T3 t
xuất	x ua_T3 t
xuẩn	x ua_T4 n
xuốn	x ua_T3 n
xuống	x ua_T3 ng
xuội	x uoi2_T6
xuỵt	x uy_T6 t
xà	x a1_T2
xài	x ai_T2
xào	x ao_T2
xá	x a1_T3
xác	x a1_T3 k
xách	x a1_T3 ch
xám	x a1_T3 m
xáp	x a1_T3 p
xát	x a1_T3 t
xâm	x a3_T1 m
xâu	x au3_T1
xây	x ay3_T1
xé	x e1_T3
xéc	x e1_T3 k
xép	x e1_T3 p
xét	x e1_T3 t
xê	x e2_T1
xên	x e2_T1 n
xì	x i_T2
xí	x i_T3
xích	x i_T3 ch
xính	x i_T3 nh
xíp	x i_T3 p
xít	x i_T3 t
xó	x o1_T3
xóa	x oa_T3
xóc	x o1_T3 k
xói	x oi_T3
xóm	x o1_T3 m
xót	x o1_T3 t
xô	x o2_T1
xôn	x o2_T1 n
xông	x o2_T1 ng
xúc	x u1_T3 k
xúi	x ui_T3
xúng	x u1_T3 ng
xăm	x a2_T1 m
xơ	x o3_T1
xơm	x o3_T1 m
xưa	x ua2_T1
xưng	x u2_T1 ng
xương	x ua2_T1 ng
xướng	x ua2_T3 ng
xược	x ua2_T6 k
xạ	x a1_T6
xạc	x a1_T6 k
xạt	x a1_T6 t
xả	x a1_T4
xảo	x ao_T4
xảy	x ay_T4
xấc	x a3_T3 k
xấn	x a3_T3 n
xấp	x a3_T3 p
xất	x a3_T3 t
xấu	x au3_T3
xầm	x a3_T2 m
xẩm	x a3_T4 m
xẫm	x a3_T5 m
xắt	x a2_T3 t
xẳng	x a2_T4 ng
xẻ	x e1_T4
xế	x e2_T3
xếp	x e2_T3 p
xết	x e2_T3 t
xể	x e2_T4
xệch	x e2_T6 ch
xỉ	x i_T4
xỉa	x i_T4 a1_T1
xỉu	x iu_T4
xịt	x i_T6 t
xỏ	x o1_T4
xốc	x o2_T3 k
xối	x oi2_T3
xốn	x o2_T3 n
xống	x o2_T3 ng
xốt	x o2_T3 t
xổ	x o2_T4
xộn	x o2_T6 n
xới	x oi3_T3
xớm	x o3_T3 m
xớt	x o3_T3 t
xờm	x o3_T2 m
xở	x o3_T4
xụi	x ui_T6
xủ	x u1_T4
xứ	x u2_T3
xức	x u2_T3 k
xứng	x u2_T3 ng
xử	x u2_T4
xửng	x u2_T4 ng
y	i_T1
yên	i_T1 e2_T1 n
yêu	i_T1 e2_T1 u1_T1
yô	i_T1 o2_T1
yếm	i_T1 e2_T3 m
yến	i_T1 e2_T3 n
yết	i_T1 e2_T3 t
yếu	i_T1 eu_T3
yểm	i_T1 e2_T4 m
yểu	i_T1 eu_T4
à	a1_T2
ào	ao_T2
ác	a1_T3 k
ách	a1_T3 ch
ái	ai_T3
ám	a1_T3 m
án	a1_T3 n
áng	a1_T3 ng
ánh	a1_T3 nh
áo	ao_T3
áp	a1_T3 p
át	a1_T3 t
áy	ay_T3
âm	a3_T1 m
ân	a3_T1 n
âu	au3_T1
éc	e1_T3 k
ém	e1_T3 m
én	e1_T3 n
ép	e1_T3 p
ét	e1_T3 t
ê	e2_T1
êch	e2_T1 ch
êm	e2_T1 m
ên	e2_T1 n
ích	i_T3 ch
ít	i_T3 t
ða	d2 a1_T1
ðai	d2 ai_T1
ðan	d2 a1_T1 n
ðang	d2 a1_T1 ng
ðanh	d2 a1_T1 nh
ðau	d2 au_T1
ðem	d2 e1_T1 m
ði	d2 i_T1
ðim	d2 i_T1 m
ðin	d2 i_T1 n
ðiếc	d2 ie2_T3 k
ðiềm	d2 ie2_T2 m
ðiều	d2 ieu_T2
ðiệp	d2 ie2_T6 p
ðoàn	d2 oa_T2 n
ðoái	d2 oa_T3 i_T1
ðoán	d2 oa_T3 n
ðoạn	d2 oa_T6 n
ðu	d2 u1_T1
ðuôi	d2 uoi2_T1
ðuổi	d2 uoi2_T4
ðá	d2 a1_T3
ðám	d2 a1_T3 m
ðáng	d2 a1_T3 ng
ðánh	d2 a1_T3 nh
ðáp	d2 a1_T3 p
ðáy	d2 ay_T3
ðâu	d2 au3_T1
ðây	d2 ay3_T1
ðã	d2 a1_T5
ðê	d2 e2_T1
ðêm	d2 e2_T1 m
ðíp	d2 i_T3 p
ðòi	d2 oi_T2
ðòn	d2 o1_T2 n
ðó	d2 o1_T3
ðóng	d2 o1_T3 ng
ðô	d2 o2_T1
ðôi	d2 oi2_T1
ðông	d2 o2_T1 ng
ðúc	d2 u1_T3 k
ðúng	d2 u1_T3 ng
ðơ	d2 o3_T1
ðưa	d2 ua2_T1
ðương	d2 ua2_T1 ng
ðường	d2 ua2_T2 ng
ðược	d2 ua2_T6 k
ðại	d2 ai_T6
ðạo	d2 ao_T6
ðạp	d2 a1_T6 p
ðạt	d2 a1_T6 t
ðảng	d2 a1_T4 ng
ðấng	d2 a3_T3 ng
ðất	d2 a3_T3 t
ðầu	d2 au3_T2
ðầy	d2 ay3_T2
ðập	d2 a3_T6 p
ðắng	d2 a2_T3 ng
ðắp	d2 a2_T3 p
ðằng	d2 a2_T2 ng
ðặng	d2 a2_T6 ng
ðặt	d2 a2_T6 t
ðẹp	d2 e1_T6 p
ðẹt	d2 e1_T6 t
ðếm	d2 e2_T3 m
ðến	d2 e2_T3 n
ðền	d2 e2_T2 n
ðều	d2 eu_T2
ðể	d2 e2_T4
ðệ	d2 e2_T6
ðỉnh	d2 i_T4 nh
ðịa	d2 i_T6 a1_T1
ðịnh	d2 i_T6 nh
ðọ	d2 o1_T6
ðọc	d2 o1_T6 k
ðối	d2 oi2_T3
ðống	d2 o2_T3 ng
ðốt	d2 o2_T3 t
ðồ	d2 o2_T2
ðồn	d2 o2_T2 n
ðồng	d2 o2_T2 ng
ðổ	d2 o2_T4
ðổi	d2 oi2_T4
ðộ	d2 o2_T6
ðội	d2 oi2_T6
ðời	d2 oi3_T2
ðờn	d2 o3_T2 n
ðụng	d2 u1_T6 ng
ðủ	d2 u1_T4
ðứa	d2 ua2_T3
ðức	d2 u2_T3 k
ðứng	d2 u2_T3 ng
ðừng	d2 u2_T2 ng
ó	o1_T3
óc	o1_T3 k
óp	o1_T3 p
ô	o2_T1
ôi	oi2_T1
ôm	o2_T1 m
ôn	o2_T1 n
ông	o2_T1 ng
õng	o1_T5 ng
úc	u1_T3 k
úp	u1_T3 p
út	u1_T3 t
ý	i_T3
ăn	a2_T1 n
đa	d2 a1_T1
đai	d2 ai_T1
đam	d2 a1_T1 m
đan	d2 a1_T1 n
đang	d2 a1_T1 ng
đanh	d2 a1_T1 nh
đao	d2 ao_T1
đau	d2 au_T1
đe	d2 e1_T1
đem	d2 e1_T1 m
đen	d2 e1_T1 n
đeo	d2 eo_T1
đi	d2 i_T1
đia	d2 i_T1 a1_T1
đim	d2 i_T1 m
đin	d2 i_T1 n
đinh	d2 i_T1 nh
điêm	d2 ie2_T1 m
điên	d2 ie2_T1 n
điêu	d2 ieu_T1
điếc	d2 ie2_T3 k
điếm	d2 ie2_T3 m
điếu	d2 ieu_T3
điềm	d2 ie2_T2 m
điền	d2 ie2_T2 n
điều	d2 ieu_T2
điểm	d2 ie2_T4 m
điển	d2 ie2_T4 n
điểu	d2 ieu_T4
điệm	d2 ie2_T6 m
điện	d2 ie2_T6 n
điệu	d2 ieu_T6
đo	d2 o1_T1
đoan	d2 oa_T1 n
đong	d2 o1_T1 ng
đoàn	d2 oa_T2 n
đoái	d2 oa_T3 i_T1
đoán	d2 oa_T3 n
đoạn	d2 oa_T6 n
đoạt	d2 oa_T6 t
đu	d2 u1_T1
đua	d2 ua_T1
đui	d2 ui_T1
đuôi	d2 uoi2_T1
đuốc	d2 ua_T3 k
đuối	d2 uoi2_T3
đuổi	d2 uoi2_T4
đº¿n	d2 n
đà	d2 a1_T2
đài	d2 ai_T2
đàm	d2 a1_T2 m
đàn	d2 a1_T2 n
đàng	d2 a1_T2 ng
đành	d2 a1_T2 nh
đào	d2 ao_T2
đày	d2 ay_T2
đá	d2 a1_T3
đác	d2 a1_T3 k
đám	d2 a1_T3 m
đáng	d2 a1_T3 ng
đánh	d2 a1_T3 nh
đáo	d2 ao_T3
đáp	d2 a1_T3 p
đát	d2 a1_T3 t
đáy	d2 ay_T3
đâm	d2 a3_T1 m
đâu	d2 au3_T1
đây	d2 ay3_T1
đã	d2 a1_T5
đãi	d2 ai_T5
đãm	d2 a1_T5 m
đãng	d2 a1_T5 ng
đè	d2 e1_T2
đèn	d2 e1_T2 n
đèo	d2 eo_T2
đéc	d2 e1_T3 k
đém	d2 e1_T3 m
đê	d2 e2_T1
đêm	d2 e2_T1 m
đên	d2 e2_T1 n
đêu	d2 e2_T1 u1_T1
đìa	d2 i_T2 a1_T1
đình	d2 i_T2 nh
đí	d2 i_T3
đích	d2 i_T3 ch
đít	d2 i_T3 t
đò	d2 o1_T2
đòi	d2 oi_T2
đòn	d2 o1_T2 n
đòng	d2 o1_T2 ng
đó	d2 o1_T3
đói	d2 oi_T3
đóm	d2 o1_T3 m
đón	d2 o1_T3 n
đóng	d2 o1_T3 ng
đót	d2 o1_T3 t
đô	d2 o2_T1
đôi	d2 oi2_T1
đôm	d2 o2_T1 m
đôn	d2 o2_T1 n
đông	d2 o2_T1 ng
đùa	d2 ua_T2
đùi	d2 ui_T2
đúc	d2 u1_T3 k
đúng	d2 u1_T3 ng
đút	d2 u1_T3 t
đĩ	d2 i_T5
đĩa	d2 i_T5 a1_T1
đơ	d2 o3_T1
đơn	d2 o3_T1 n
đưa	d2 ua2_T1
đưng	d2 u2_T1 ng
đương	d2 ua2_T1 ng
đước	d2 ua2_T3 k
đường	d2 ua2_T2 ng
được	d2 ua2_T6 k
đượm	d2 ua2_T6 m
đḁ¿n	d2 n
đạc	d2 a1_T6 k
đại	d2 ai_T6
đạm	d2 a1_T6 m
đạo	d2 ao_T6
đạp	d2 a1_T6 p
đạt	d2 a1_T6 t
đạy	d2 ay_T6
đảm	d2 a1_T4 m
đản	d2 a1_T4 n
đảng	d2 a1_T4 ng
đảo	d2 ao_T4
đấm	d2 a3_T3 m
đấng	d2 a3_T3 ng
đất	d2 a3_T3 t
đấu	d2 au3_T3
đấy	d2 ay3_T3
đầm	d2 a3_T2 m
đần	d2 a3_T2 n
đầu	d2 au3_T2
đầy	d2 ay3_T2
đẩu	d2 au3_T4
đẩy	d2 ay3_T4
đậm	d2 a3_T6 m
đập	d2 a3_T6 p
đật	d2 a3_T6 t
đậu	d2 au3_T6
đậy	d2 ay3_T6
đắc	d2 a2_T3 k
đắm	d2 a2_T3 m
đắng	d2 a2_T3 ng
đắp	d2 a2_T3 p
đằng	d2 a2_T2 ng
đẳng	d2 a2_T4 ng
đẵm	d2 a2_T5 m
đặc	d2 a2_T6 k
đặn	d2 a2_T6 n
đặng	d2 a2_T6 ng
đặt	d2 a2_T6 t
đẹp	d2 e1_T6 p
đẻ	d2 e1_T4
đẽ	d2 e1_T5
đẽo	d2 eo_T5
đế	d2 e2_T3
đếm	d2 e2_T3 m
đến	d2 e2_T3 n
đết	d2 e2_T3 t
đề	d2 e2_T2
đền	d2 e2_T2 n
đều	d2 eu_T2
để	d2 e2_T4
đỉa	d2 i_T4 a1_T1
đỉnh	d2 i_T4 nh
địa	d2 i_T6 a1_T1
địch	d2 i_T6 ch
định	d2 i_T6 nh
đọ	d2 o1_T6
đọc	d2 o1_T6 k
đọng	d2 o1_T6 ng
đọt	d2 o1_T6 t
đỏ	d2 o1_T4
đỏi	d2 oi_T4
đố	d2 o2_T3
đốc	d2 o2_T3 k
đối	d2 oi2_T3
đốm	d2 o2_T3 m
đốn	d2 o2_T3 n
đống	d2 o2_T3 ng
đốt	d2 o2_T3 t
đồ	d2 o2_T2
đồi	d2 oi2_T2
đồn	d2 o2_T2 n
đồng	d2 o2_T2 ng
đổ	d2 o2_T4
đổi	d2 oi2_T4
đỗ	d2 o2_T5
đỗi	d2 oi2_T5
độ	d2 o2_T6
độc	d2 o2_T6 k
đội	d2 oi2_T6
độn	d2 o2_T6 n
động	d2 o2_T6 ng
đớn	d2 o3_T3 n
đờ	d2 o3_T2
đờai	d2 o3_T2 ai_T1
đời	d2 oi3_T2
đờn	d2 o3_T2 n
đởm	d2 o3_T4 m
đỡ	d2 o3_T5
đợi	d2 oi3_T6
đục	d2 u1_T6 k
đụn	d2 u1_T6 n
đụng	d2 u1_T6 ng
đụp	d2 u1_T6 p
đụt	d2 u1_T6 t
đủ	d2 u1_T4
đứa	d2 ua2_T3
đức	d2 u2_T3 k
đứng	d2 u2_T3 ng
đứt	d2 u2_T3 t
đừ	d2 u2_T2
đừng	d2 u2_T2 ng
đữ	d2 u2_T5
đực	d2 u2_T6 k
đựng	d2 u2_T6 ng
ơ	o3_T1
ơi	oi3_T1
ơn	o3_T1 n
ư	u2_T1
ưa	ua2_T1
ưng	u2_T1 ng
ưu	uu2_T1
ước	ua2_T3 k
ướm	ua2_T3 m
ướt	ua2_T3 t
ạc	a1_T6 k
ải	ai_T4
ảng	a1_T4 ng
ảnh	a1_T4 nh
ấm	a3_T3 m
ấn	a3_T3 n
ấp	a3_T3 p
ấu	au3_T3
ấy	ay3_T3
ầm	a3_T2 m
ầy	ay3_T2
ẩm	a3_T4 m
ẩn	a3_T4 n
ậy	ay3_T6
ắt	a2_T3 t
ẳm	a2_T4 m
ẵm	a2_T5 m
ẹo	eo_T6
ẻo	eo_T4
ế	e2_T3
ếch	e2_T3 ch
ếm	e2_T3 m
ếp	e2_T3 p
ết	e2_T3 t
ỏ	o1_T4
ỏi	oi_T4
ố	o2_T3
ốc	o2_T3 k
ốm	o2_T3 m
ống	o2_T3 ng
ốt	o2_T3 t
ồ	o2_T2
ồn	o2_T2 n
ổ	o2_T4
ổn	o2_T4 n
ớ	o3_T3
ớt	o3_T3 t
ờ	o3_T2
ở	o3_T4
ỡ	o3_T5
ụt	u1_T6 t
ủa	ua_T4
ủi	ui_T4
ủng	u1_T4 ng
ủy	uy_T4
ứ	u2_T3
ức	u2_T3 k
ứng	u2_T3 ng
ừ	u2_T2
ỷ	i_T4
