a	a1_T1
rajiv	r a1_T1 d1 i_T1 v
raju	r a1_T1 d1 u1_T1
rameshwary	r a1_T1 m e1_T1 s ua_T1 r i_T1
ran	r a1_T1 n
ranh	r a1_T1 nh
ranil	r a1_T1
ranjuth	r a1_T1 d1 u1_T1 th
rao	r ao_T1
ratima	r a1_T1 t i_T1 m a1_T1
rau	r au_T1
ravina	r a1_T1 j i_T1 n a1_T1
ray	r ay_T1
raymond	r ay_T1 m o1_T1 n d1
ràng	r a1_T1 ng
rãi	r ai_T1
rb	a1_T1 r b i_T1
re	r e1_T1
reid	r oi_T1
renata	r e1_T1 n a1_T1 t a1_T1
reo	r eo_T1
report	r e2_T2 p o2_T1 a1_T1
respect	r e1_T3 p e1_T1 k t
retima	r e2_T1 t i_T1 m a1_T1
reuters	r e2_T1 u1_T1 t o3_T1 s
richard	r i_T1 ch a1_T3 o1_T1
rinh	r i_T1 nh
rio	r i_T1 o2_T1
riverina	r i_T1 j o3_T1 n a1_T1
rizvi	r i_T3 s v i_T1
riêng	r ie2_T1 ng
ro	r o1_T1
robati	r o2_T1 b a1_T1 t i_T1
rober	r o2_T1 b o3_T2
robert	r o2_T1 b o3_T1 t
robinson	r o2_T1 b i_T1 n x o1_T1 n
rockingham	r o2_T3 k i_T1 ng a1_T1 m
rodrigo	r o1_T1 j r i_T3 g o1_T1
roger	r o2_T1 g o3_T2
ross	r o1_T1 x s
rowan	r au3_T1 a1_T1 n
ru	r u1_T1
rudd	r u1_T1 d1 d2 e2_T1
ruf	r u1_T1 e1_T3 ph
run	r u1_T1 n
rung	r u1_T1 ng
ruwand	r u1_T1 ua_T1 n d2 e2_T1
rút	r u1_T1 t
rủa	r ua_T1
rủi	r ui_T1
ruột	r ua_T6 t
ryan	r i_T1 a1_T1 n
ràng	r a1_T2 ng
rào	r ao_T2
ráo	r ao_T3
ráp	r a1_T3 p
râm	r a3_T1 m
rât	r a3_T1 t
rất	r a3_T1 t
rậm	r a3_T1 m
rãi	r ai_T5
rét	r e1_T3 t
rê	r e2_T1
rên	r e2_T1 n
rêu	r e2_T1 u1_T1
ròng	r o1_T2 ng
rồi	r oi2_T1
rối	r oi2_T1
rộng	r o2_T1 ng
rõ	r o1_T5
rúng	r u1_T3 ng
rút	r u1_T3 t
răng	r a2_T1 ng
rằng	r a2_T1 ng
rơi	r oi3_T1
rơn	r o3_T1 n
rời	r oi3_T1
rừng	r u2_T1 ng
rưỡi	r uoi3_T5
rượu	r uou_T6
rất	r a3_T3 t
rầu	r au3_T2
rầy	r ay3_T2
rẩy	r ay3_T4
rẫy	r ay3_T5
rập	r a3_T6 p
rắc	r a2_T3 k
rắn	r a2_T3 n
rằng	r a2_T2 ng
rẻ	r e1_T4
rẽ	r e1_T5
rền	r e2_T2 n
rể	r e2_T4
rỉ	r i_T4
rối	r oi2_T3
rồi	r oi2_T2
rộn	r o2_T6 n
rộng	r o2_T6 ng
rời	r oi3_T2
rở	r o3_T4
rụi	r ui_T6
rủi	r ui_T4
rừng	r u2_T2 ng
rửa	r ua2_T4
rực	r u2_T6 k
s	s
sa	s a1_T1
saeb	x a1_T1 e1_T3 p
safer	x a1_T1 ph e1_T1 r
sai	x ai_T1
saint	x ai_T1 n t
saleh	x a1_T1 l e1_T3 t
sally	x a1_T1 l l i_T1
saluza	x a1_T1 l u1_T1 d1 a1_T1
samuel	x a1_T1 m u1_T1 eo_T1
san	x a1_T1 n
sandline	x a1_T1 n d2 l i_T1 n e1_T1
sang	x a1_T1 ng
sangita	x a1_T1 ng i_T1 t a1_T1
sao	x ao_T1
sarah	x a1_T1 d1 a1_T1 h
sau	x au_T1
saunders	x au_T1 n d2 e2_T1 d1 s
save	x a1_T1 j e1_T1
saving	x a1_T1 j i_T1 ng
say	x ay_T1
sàng	x a1_T1 ng
sách	x a1_T1 ch
sáng	x a1_T1 ng
sánh	s a1_T1 nh
sát	x a1_T1 t
sản	x a1_T1 n
sạch	x a1_T1 ch
sạn	x a1_T1 n
sbs	x p x
school	x ch u1_T1 l
scott	x k o1_T1 t t
scri	s k r i_T3
se	s e1_T1
sebastian	x e1_T3 p a1_T3 s t i_T1 a1_T1 n
seine	x e2_T1 i_T1 n e1_T1
senaratne	x e1_T1 n a1_T1 d1 a1_T1 t n e1_T1
seo	x eo_T1
serbia	x e1_T3 b i_T1 a1_T1
services	x e1_T3 v i_T1 k e1_T1 s
sessions	x e1_T3 s i_T1 o1_T1 n s
sevana	x e2_T1 v a1_T1 n a1_T1
shamdasani	x a1_T1 m d2 a1_T1 s a1_T1 n i_T1
shams	x a1_T1 m s
shangri	x a1_T1 n g r i_T1
share	x a1_T1 r e1_T1
sharrouf	x a1_T1 r r o2_T1 u1_T1 e1_T3 ph
shaw	x h a1_T1
shayne	x h ay_T1 n e1_T1
sheppard	x e2_T2 p p a1_T1 o1_T1
sherbrook	x th e1_T1 b o1_T1 o1_T1 k
shiralee	x i_T1 d1 a1_T1 l e1_T3 e1_T1
shoes	x o1_T3 e1_T3
shorten	x h o1_T1 r t e1_T1 n
si	x i_T1
sid	x oi_T1
singer	x i_T1 ng o3_T2
sinh	x i_T1 nh
siobhan	x i_T1 o2_T1 b h a1_T1 n
sir	x i_T1 r
sirisena	x i_T1 r i_T3 x e1_T1 n a1_T1
siêu	x ieu_T1
siết	x ie2_T1 t
sky	s k i_T1
skype	s k i_T1 p e1_T1
slaughter	x l au_T1 g t e1_T1 r
slogan	x l o1_T1 g a1_T1 n
smith	x m i_T3 k th
smyth	x m i_T1 th
snodgrass	x n o1_T1 j g d1 a1_T1 x s
so	s o1_T1
soát	s o1_T1 a1_T3 t
sobbing	s o1_T1 b i_T1 b i_T1 i_T1 ng
socola	x o1_T1 k o1_T1 l a1_T1
sohara	s o1_T1 h a1_T1 d1 a1_T1
soldiers	s o1_T1 d2 i_T1 o3_T1 s
somalia	x o2_T1 m a1_T1 l i_T1 a1_T1
son	x o1_T1 n
sonar	x o1_T1 n a1_T1 r
song	x o1_T1 ng
sonia	x o1_T1 n i_T1 a1_T1
sos	s o1_T1 s
south	s o1_T1 u1_T1 th
soát	s oa_T3 t
sóc	x o1_T1 k
sót	s o1_T1 t
soạn	x oa_T6 n
speak	x p e2_T1 a1_T1 k
square	x k ua_T1 o2_T1
sri	x r i_T1
ss	x s
st	s t
start	s t a1_T1 t
stephane	x ai_T1 ph a1_T1 n e1_T1
ster	x t o3_T1
stewart	x ai_T1 ua_T1 a1_T1
stillhart	s t i_T1 eo_T1 a1_T1 a1_T1
streker	x tr e1_T1 k o3_T2
sturt	s t u1_T1 a1_T1
su	x u1_T1
subasinghe	s u1_T1 b a1_T1 x i_T1 ng e1_T1
subianto	s u1_T1 b i_T1 a1_T1 n t o2_T1
sudan	s u1_T1 d2 a1_T1 n
sudesh	s u1_T1 d1 e1_T1 s h
sung	x u1_T1 ng
sunshine	x u1_T1 n x i_T1 n e1_T1
suriaaratch	x oa_T1 ie2_T1 a1_T1 d1 a1_T1 t ch
suriaaratchi	x oa_T1 ie2_T1 a1_T1 d1 a1_T1 t ch i_T1
suriaraatchi	x oa_T1 i_T1 a1_T1 d1 a1_T1 a1_T1 t ch i_T1
suriaraatchis	x oa_T1 i_T1 a1_T1 d1 a1_T1 a1_T1 t ch i_T1 s
susah	s u1_T1 s a1_T1 h
susan	s u1_T1 s a1_T1 n
susie	s u1_T1 s i_T1 e1_T1
suy	x uy_T1
suốt	x ua_T1 t
súng	x u1_T1 ng
sút	s u1_T1 t
suất	x ua_T3 t
suốt	x ua_T3 t
sydney	x i_T1 d1 n e1_T1 i_T1
syria	x i_T1 r i_T1 a1_T1
system	x i_T1 s t e1_T1 m
sà	x a1_T2
sài	s ai_T2
sàm	x a1_T2 m
sàng	x a1_T2 ng
sách	x a1_T3 ch
sám	x a1_T3 m
sáng	x a1_T3 ng
sánh	s a1_T3 nh
sáo	x ao_T3
sát	x a1_T3 t
sáu	x au_T3
sân	x a3_T1 n
sâu	x au3_T1
sấy	x ay3_T1
sếp	x e2_T1 p
sóc	x o1_T3 k
sóng	x o1_T3 ng
sót	x o1_T3 t
sô	x o2_T1
sông	x o2_T1 ng
sống	x o2_T1 ng
sùng	x u1_T2 ng
súng	s u1_T3 ng
săn	x a2_T1 n
sắc	x a2_T1 k
sắp	x a2_T1 p
sẵn	x a2_T1 n
sĩ	x i_T5
sơ	x o3_T1
sơn	x o3_T1 n
sớm	x o3_T1 m
sư	x u2_T1
sưc	x u2_T1 k
sưng	s u2_T1 ng
sức	x u2_T1 k
sực	x u2_T1 k
sạc	x a1_T6 k
sạch	x a1_T6 ch
sản	x a1_T4 n
sập	x a3_T6 p
sắc	x a2_T3 k
sắm	x a2_T3 m
sắp	x a2_T3 p
sẵn	x a2_T5 n
sẻ	x e1_T4
sẽ	s e1_T5
sếp	x e2_T3 p
sỉ	x i_T4
sỏ	x o1_T4
số	x o2_T3
sốc	x o2_T3 k
sống	x o2_T3 ng
sốt	x o2_T3 t
sổ	x o2_T4
sớm	x o3_T3 m
sờn	x o3_T2 n
sở	x o3_T4
sởi	x oi3_T4
sỡ	s o3_T5
sợ	x o3_T6
sụp	s u1_T6 p
sủng	x u1_T4 ng
sứ	x u2_T3
sức	x u2_T3 k
sử	x u2_T4
sửa	x ua2_T4
sửng	x u2_T4 ng
sữa	x ua2_T5
sự	x u2_T6
t	t
ta	t a1_T1
tafe	t a1_T1 ph e1_T1
tai	t ai_T1
tamil	t a1_T1 m i_T1 l
tang	t a1_T1 ng
tania	t a1_T1 n i_T1 a1_T1
tanya	t a1_T1 n i_T1 a1_T1
tarik	t a1_T1 r i_T3 k
tasman	t a1_T1 x m a1_T1 n
tasmania	t a1_T1 x m n i_T1 a1_T1
tasmanian	t a1_T1 x m n i_T1 a1_T1 n
tay	t ay_T1
taylor	t ay_T1 l t o3_T1
tài	t ai_T1
tàn	t a1_T1 n
tác	t a2_T3
tách	t a1_T1 ch
tái	t ai_T1
tán	t a1_T1 n
táo	t ao_T1
tải	t ai_T1
tại	t ai_T1
tạm	t a1_T1 m
tạo	t ao_T1
tạp	t a1_T1 p
ted	t e2_T1 d2
tel	t eo_T1
telstra	t eo_T1 x t r a1_T1
terry	t e1_T1 d1 r i_T1
testing	t e1_T1 s t i_T1 ng
th	th
tha	th a1_T1
thai	th ai_T1
tham	th a1_T1 m
than	th a1_T1 n
thang	th a1_T1 ng
thanh	th a1_T1 nh
thao	th ao_T1
thay	th ay_T1
thành	th a1_T1 nh
thác	th a1_T1 k
thách	th a1_T1 ch
thái	th ai_T1
tháng	th a1_T1 ng
thánh	th a1_T1 nh
tháo	th ao_T1
thải	th ai_T1
thảm	th a1_T1 m
thảo	th ao_T1
thcs	th k s
the	th e1_T1
them	th e1_T1 m
then	th e1_T1 n
theo	th eo_T1
thep	th e2_T2 p
theresa	th e1_T1 d1 e1_T3 a1_T1
thẹn	th e1_T1 n
thi	th i_T1
thich	th i_T1 ch
thien	th i_T1 e1_T1 n
thiên	th ie2_T1 n
thiêu	th ieu_T1
thiết	th ie2_T1 t
thiếu	th ieu_T1
thiểu	th ieu_T1
thiện	th ie2_T1 n
thiệp	th ie2_T1 p
thiệt	th ie2_T1 t
thiệu	th ieu_T1
thích	th i_T1 ch
thính	th i_T1 nh
thịnh	th i_T1 nh
thiết	th ie2_T3 t
thiếu	th ieu_T3
thiểu	th ieu_T4
thiện	th ie2_T6 n
thiệp	th ie2_T6 p
thiệt	th ie2_T6 t
thiệu	th ieu_T6
tho	th o1_T1
thoa	th oa_T1
thoại	th oa_T1 i_T1
thomas	th o1_T1 m a1_T3 s
thowheeth	th o1_T1 e1_T1 e1_T3 t t
thoái	th oa_T3 i_T1
thoáng	th oa_T3 ng
thoát	th oa_T3 t
thòi	th oi_T1
thỏa	th oa_T1
thoại	th oa_T6 i_T1
thoạt	th oa_T6 t
thoải	th oa_T4 i_T1
thu	th u1_T1
thua	th ua_T1
thuyết	th uy_T1 e2_T1 t
thuyết	th uy_T1 e2_T3 t
thuyền	th uy_T1 e2_T2 n
thuận	th u1_T1 a3_T1 n
thuật	th u1_T1 a3_T1 t
thuê	th u1_T1 e2_T1
thuốc	th ua_T1 k
thuộc	th ua_T1 k
thuý	th uy_T3
thúc	th u1_T1 k
thụy	th uy_T1
thuần	th ua_T2 n
thuẫn	th u1_T1 a3_T5 n
thuận	th ua_T6 n
thuật	th ua_T6 t
thuế	th u1_T1 e2_T3
thuốc	th ua_T3 k
thuộc	th ua_T6 k
thuỵ	th uy_T6
thà	th a1_T2
thành	th a1_T2 nh
thác	th a1_T3 k
thách	th a1_T3 ch
thái	th ai_T3
tháng	th a1_T3 ng
thánh	th a1_T3 nh
tháp	th a1_T3 p
thâm	th a3_T1 m
thân	th a3_T1 n
thần	th a3_T1 n
thầu	th au3_T1
thấp	th a3_T1 p
thất	th a3_T1 t
thấu	th au3_T1
thấy	th ay3_T1
thẩm	th a3_T1 m
thậm	th a3_T1 m
thập	th a3_T1 p
thật	th a3_T1 t
thê	th e2_T1
thêm	th e2_T1 m
thì	th i_T2
thí	th i_T3
thích	th i_T3 ch
thính	th i_T3 nh
thòi	th oi_T2
thói	th oi_T3
thô	th o2_T1
thôi	th oi2_T1
thôn	th o2_T1 n
thông	th o2_T1 ng
thống	th o2_T1 ng
thù	th u1_T2
thùng	th u1_T2 ng
thú	th u1_T3
thúc	th u1_T3 k
thăm	th a2_T1 m
thăng	th a2_T1 ng
thắng	th a2_T1 ng
thắt	th a2_T1 t
thẳm	th a2_T1 m
thẳng	th a2_T1 ng
thặng	th a2_T1 ng
thơ	th o3_T1
thơm	th o3_T1 m
thời	th oi3_T1
thư	th u2_T1
thưa	th ua2_T1
thương	th ua2_T1 ng
thường	th ua2_T1 ng
thưởng	th ua2_T1 ng
thượng	th ua2_T1 ng
thừa	th ua2_T1
thức	th u2_T1 k
thực	th u2_T1 k
thường	th ua2_T2 ng
thưởng	th ua2_T4 ng
thượng	th ua2_T6 ng
thả	th a1_T4
thải	th ai_T4
thảm	th a1_T4 m
thảng	th a1_T4 ng
thảo	th ao_T4
thảy	th ay_T4
thấp	th a3_T3 p
thất	th a3_T3 t
thấu	th au3_T3
thấy	th ay3_T3
thầm	th a3_T2 m
thần	th a3_T2 n
thầy	th ay3_T2
thẩm	th a3_T4 m
thậm	th a3_T6 m
thận	th a3_T6 n
thập	th a3_T6 p
thật	th a3_T6 t
thậtvà	th a3_T6 t v a1_T2
thắng	th a2_T3 ng
thắp	th a2_T3 p
thắt	th a2_T3 t
thằn	th a2_T2 n
thẳng	th a2_T4 ng
thặng	th a2_T6 ng
thẻ	th e1_T4
thế	th e2_T3
thề	th e2_T2
thể	th e2_T4
thỉ	th i_T4
thỉu	th iu_T4
thị	th i_T6
thịnh	th i_T6 nh
thịt	th i_T6 t
thỏ	th o1_T4
thỏa	th oa_T4
thốn	th o2_T3 n
thống	th o2_T3 ng
thốngmới	th o2_T3 ng m oi3_T3
thốt	th o2_T3 t
thổ	th o2_T4
thờ	th o3_T2
thời	th oi3_T2
thở	th o3_T4
thụ	th u1_T6
thục	th u1_T6 k
thụy	th u1_T6 i_T1
thủ	th u1_T4
thủy	th uy_T4
thứ	th u2_T3
thức	th u2_T3 k
thừa	th ua2_T2
thử	th u2_T4
thực	th u2_T6 k
ti	t i_T1
tiger	t i_T1 j i_T1 o3_T2
tim	t i_T1 m
tin	t i_T1 n
tinh	t i_T1 nh
tinkler	t i_T1 n k l o3_T2
tinto	t i_T1 n t o2_T1
tirển	t i_T1 r e2_T4 n
tivi	t i_T1 j i_T1
tiêm	t ie2_T1 m
tiên	t ie2_T1 n
tiêu	t ieu_T1
tiền	t ie2_T1 n
tiếc	t ie2_T1 k
tiến	t ie2_T1 n
tiếng	t ie2_T1 ng
tiếp	t ie2_T1 p
tiết	t ie2_T1 t
tiểu	t ieu_T1
tiệc	t ie2_T1 k
tiệm	t ie2_T1 m
tiện	t ie2_T1 n
tìm	t i_T1 m
tình	t i_T1 nh
tích	t i_T1 ch
tín	t i_T1 n
tính	t i_T1 nh
tíêp	t ie2_T1 p
tỉnh	t i_T1 nh
tịch	t i_T1 ch
tiếc	t ie2_T3 k
tiến	t ie2_T3 n
tiếng	t ie2_T3 ng
tiếp	t ie2_T3 p
tiết	t ie2_T3 t
tiềm	t ie2_T2 m
tiền	t ie2_T2 n
tiểu	t ieu_T4
tiệc	t ie2_T6 k
tiệm	t ie2_T6 m
tiện	t ie2_T6 n
tns	t n s
to	t o1_T1
toa	t oa_T1
toàn	t oa_T1 n
toán	t oa_T1 n
tony	t o1_T1 n i_T1
toomey	t o2_T1 m i_T1
torpedo	t o2_T1 p e2_T1 d2 o2_T1
torres	t o2_T1 d1 e1_T3
tottenham	t o1_T1 t t e2_T1 nh a1_T1 m
tourism	t ua_T1 i_T3 x m
toàn	t oa_T2 n
toán	t oa_T3 n
tòa	t oa_T1
tỏa	t oa_T1
tp	t p
tra	ch a1_T1
trai	ch ai_T1
trang	ch a1_T1 ng
tranh	ch a1_T1 nh
translated	ch a1_T1 n x l e2_T3 t d2 e2_T1
trao	tr ao_T1
trau	tr au_T1
tràn	ch a1_T1 n
trào	tr ao_T1
trách	ch a1_T1 ch
trái	ch ai_T1
tránh	ch a1_T1 nh
trát	ch a1_T1 t
trải	ch ai_T1
trại	ch ai_T1
trạm	ch a1_T1 m
trạng	ch a1_T1 ng
tre	ch e1_T1
treasured	ch e1_T1 a1_T3 x u1_T1 o2_T1 d2 e2_T1
trent	ch e1_T1 n t
treo	ch eo_T1
tri	ch i_T1
trinh	ch i_T1 nh
tripoli	ch i_T1 p o2_T1 l i_T1
triển	ch ie2_T1 n
triệu	ch ieu_T1
trình	ch i_T1 nh
trích	ch i_T1 ch
triết	ch ie2_T3 t
triển	ch ie2_T4 n
triệt	ch ie2_T6 t
triệu	ch ieu_T6
tro	ch o1_T1
trong	ch o1_T1 ng
trongmột	ch o1_T1 ng m o2_T6 t
trọng	ch o1_T1 ng
trọt	ch o1_T1 t
tru	tr u1_T1
trump	ch u1_T1 e1_T1 m p i_T1
trun	ch u1_T1 n
trung	ch u1_T1 ng
truong	ch u1_T1 o1_T1 ng
truy	ch uy_T1
truyền	ch uy_T1 e2_T1 n
truyền	ch uy_T1 e2_T2 n
truyện	ch uy_T1 e2_T6 n
truân	ch u1_T1 a3_T1 n
truòng	ch u1_T1 o1_T2 ng
trục	ch u1_T1 k
truất	ch ua_T3 t
tràn	ch a1_T2 n
trào	ch ao_T2
trá	ch a1_T3
trách	ch a1_T3 ch
trái	ch ai_T3
tránh	ch a1_T3 nh
tráo	ch ao_T3
trát	ch a1_T3 t
trân	ch a3_T1 n
trầm	ch a3_T1 m
trần	ch a3_T1 n
trấn	ch a3_T1 n
trận	ch a3_T1 n
trãi	ch ai_T5
trèo	ch eo_T2
trê	ch e2_T1
trên	tr e2_T1 n
trêu	tr e2_T1 u1_T1
trì	ch i_T2
trình	ch i_T2 nh
trí	ch i_T3
trích	ch i_T3 ch
trò	ch o1_T2
tròn	ch o1_T2 n
trôi	ch oi2_T1
trông	ch o2_T1 ng
trồng	ch o2_T1 ng
trốn	ch o2_T1 n
trội	ch oi2_T1
trộn	ch o2_T1 n
trù	ch u1_T2
trùm	ch u1_T2 m
trùng	ch u1_T2 ng
trú	ch u1_T3
trúc	ch u1_T3 k
trăm	ch a2_T1 m
trăn	ch a2_T1 n
trắng	ch a2_T1 ng
trặc	ch a2_T1 k
trơ	ch o3_T1
trời	ch oi3_T1
trư	ch u2_T1
trưa	ch ua2_T1
trưng	ch u2_T1 ng
trường	ch ua2_T1 ng
trước	ch ua2_T1 k
trưởng	ch ua2_T1 ng
trừng	ch u2_T1 ng
trực	ch u2_T1 k
trước	ch ua2_T3 k
trường	ch ua2_T2 ng
trưởng	ch ua2_T4 ng
trượt	ch ua2_T6 t
trại	ch ai_T6
trạm	ch a1_T6 m
trạng	ch a1_T6 ng
trả	ch a1_T4
trải	ch ai_T4
trấn	ch a3_T3 n
trầm	ch a3_T2 m
trần	ch a3_T2 n
trận	ch a3_T6 n
trắng	ch a2_T3 ng
trằng	ch a2_T2 ng
trẻ	ch e1_T4
trể	ch e2_T4
trễ	ch e2_T5
trệ	ch e2_T6
trị	ch i_T6
trọn	tr o1_T6 n
trọng	ch o1_T6 ng
trốn	ch o2_T3 n
trống	ch o2_T3 ng
trồng	ch o2_T2 ng
trỗi	ch oi2_T5
trội	ch oi2_T6
trớ	ch o3_T3
trời	ch oi3_T2
trở	ch o3_T4
trợ	ch o3_T6
trợn	ch o3_T6 n
trụ	ch u1_T6
trứng	tr u2_T3 ng
trừ	ch u2_T2
trừng	ch u2_T2 ng
trữ	ch u2_T5
trực	ch u2_T6 k
ts	t s
ttâm	t t a3_T1 m
tu	t u1_T1
tuaine	t ua_T1 i_T1 n e1_T1
tung	t u1_T1 ng
turk	t oa_T1 k
turnbull	t oa_T1 n b u1_T1 n
tuy	t uy_T1
tuyê	t uy_T1 e2_T1
tuyên	t uy_T1 e2_T1 n
tuyến	t uy_T1 e2_T1 n
tuyển	t uy_T1 e2_T1 n
tuyệt	t uy_T1 e2_T1 t
tuyến	t uy_T1 e2_T3 n
tuyển	t uy_T1 e2_T4 n
tuyệt	t uy_T1 e2_T6 t
tuân	t u1_T1 a3_T1 n
tuần	t u1_T1 a3_T1 n
tuê	t u1_T1 e2_T1
tuổi	t uoi2_T1
tùy	t uy_T1
túi	t ui_T1
tục	t u1_T1 k
tuần	t ua_T2 n
tuệ	t u1_T1 e2_T6
tuổi	t uoi2_T4
tv	t v e2_T1
tweet	t e1_T1 e1_T3 t
tweeted	t e1_T1 e1_T3 t e2_T1 d2
twitter	t o1_T1 ai_T1 t t e1_T1 r
ty	t i_T1
tài	t ai_T2
tàn	t a1_T2 n
tàng	t a1_T2 ng
tàu	t au_T2
tá	t a1_T3
tác	t a1_T3 k
tái	t ai_T3
tám	t a1_T3 m
tán	t a1_T3 n
táng	t a1_T3 ng
táp	t a1_T3 p
tâm	t a3_T1 m
tân	t a3_T1 n
tât	t a3_T1 t
tây	t ay3_T1
tầm	t a3_T1 m
tầng	t a3_T1 ng
tấn	t a3_T1 n
tất	t a3_T1 t
tẫm	t a3_T1 m
tẩy	t ay3_T1
tận	t a3_T1 n
tập	t a3_T1 p
tật	t a3_T1 t
té	t e1_T3
tê	t e2_T1
tên	t e2_T1 n
tìm	t i_T2 m
tình	t i_T2 nh
tích	t i_T3 ch
tím	t i_T3 m
tín	t i_T3 n
tính	t i_T3 nh
tòa	t oa_T2
tòi	t oi_T2
tòng	t o1_T2 ng
tóc	t o1_T3 k
tóm	t o1_T3 m
tô	t o2_T1
tôi	t oi2_T1
tôichúng	t oi2_T1 ch u1_T3 ng
tôm	t o2_T1 m
tôn	t o2_T1 n
tông	t o2_T1 ng
tồn	t o2_T1 n
tốc	t o2_T1 k
tối	t oi2_T1
tốn	t o2_T1 n
tốt	t o2_T1 t
tổn	t o2_T1 n
tổng	t o2_T1 ng
tộc	t o2_T1 k
tội	t oi2_T1
tù	t u1_T2
tùy	t u1_T2 i_T1
tú	t u1_T3
túc	t u1_T3 k
túi	t ui_T3
túm	t u1_T3 m
túy	t u1_T3 i_T1
tăgn	t a2_T1 g n
tăm	t a2_T1 m
tăng	t a2_T1 ng
tắc	t a2_T1 k
tặng	t a2_T1 ng
tĩnh	t i_T5 nh
tới	t oi3_T1
tư	t u2_T1
tươi	t uoi3_T1
tươm	t ua2_T1 m
tương	t ua2_T1 ng
tước	t ua2_T1 k
tưới	t uoi3_T1
tướng	t ua2_T1 ng
tưởng	t ua2_T1 ng
tượng	t ua2_T1 ng
từng	t u2_T1 ng
tức	t u2_T1 k
tước	t ua2_T3 k
tướng	t ua2_T3 ng
tưởng	t ua2_T4 ng
tượng	t ua2_T6 ng
tạ	t a1_T6
tại	t ai_T6
tạm	t a1_T6 m
tạo	t ao_T6
tạp	t a1_T6 p
tả	t a1_T4
tải	t ai_T4
tản	t a1_T4 n
tảng	t a1_T4 ng
tấm	t a3_T3 m
tấn	t a3_T3 n
tất	t a3_T3 t
tấu	t au3_T3
tầm	t a3_T2 m
tầng	t a3_T2 ng
tẩy	t ay3_T4
tận	t a3_T6 n
tập	t a3_T6 p
tật	t a3_T6 t
tắc	t a2_T3 k
tắm	t a2_T3 m
tắt	t a2_T3 t
tặc	t a2_T6 k
tặng	t a2_T6 ng
tế	t e2_T3
tết	t e2_T3 t
tề	t e2_T2
tệ	t e2_T6
tỉ	t i_T4
tỉa	t i_T4 a1_T1
tỉnh	t i_T4 nh
tị	t i_T6
tịch	t i_T6 ch
tịn	t i_T6 n
tỏ	t o1_T4
tỏa	t oa_T4
tố	t o2_T3
tối	t oi2_T3
tốn	t o2_T3 n
tống	t o2_T3 ng
tốt	t o2_T3 t
tồi	t oi2_T2
tồn	t o2_T2 n
tổ	t o2_T4
tổn	t o2_T4 n
tổng	t o2_T4 ng
tộc	t o2_T6 k
tội	t oi2_T6
tới	t oi3_T3
tờ	t o3_T2
tời	t oi3_T2
tụ	t u1_T6
tục	t u1_T6 k
tụt	t u1_T6 t
tụy	t u1_T6 i_T1
tủ	t u1_T4
tủi	t ui_T4
tức	t u2_T3 k
từ	t u2_T2
từng	t u2_T2 ng
tử	t u2_T4
tự	t u2_T6
tựu	t uu2_T6
tỷ	t i_T4
u	u1_T1
ubnd	u1_T1 b n d2 e2_T1
ukrain	u1_T1 k d1 a1_T1 i_T1 n
ukraine	u1_T1 k d1 a1_T1 i_T1 n e1_T1
ukrainian	u1_T1 k d1 a1_T1 i_T1 n i_T1 a1_T1 n
ukrainians	u1_T1 k d1 a1_T1 i_T1 n i_T1 a1_T1 n s
unemployed	u1_T1 n e1_T1 m p l i_T1 e2_T1 d2
ung	u1_T1 ng
unicef	u1_T1 n i_T1 k e1_T1 ph
united	u1_T1 n ai_T1 d2 e2_T1
uniting	u1_T1 n i_T1 t i_T1 ng
university	u1_T1 n i_T1 j o3_T1 s i_T1 t i_T1
usd	u1_T3 d2 e2_T1
uts	u1_T1 t s
uy	uy_T1
uống	ua_T1 ng
úc	u1_T1 k
ũy	uy_T1
ủng	u1_T1 ng
ủy	uy_T1
uống	ua_T3 ng
uộc	ua_T6 k
uỷ	uy_T4
va	j a1_T1
vaccin	j a2_T3 k i_T1 n
vaccine	j a2_T3 k i_T1 n e1_T1
vai	j ai_T1
vanatu	j a1_T1 n a1_T1 t u1_T1
vang	j a1_T1 ng
varatharaja	j a1_T1 d1 a1_T1 t h a1_T1 d1 a1_T1 d1 a1_T1
vass	j a1_T3 x s
vassily	j a1_T3 x s i_T1 l i_T1
vài	j ai_T1
vàng	j a1_T1 ng
vào	v ao_T1
vãn	j a1_T1 n
vải	j ai_T1
vca	j k a1_T1
vds	v d1 s
ve	j e1_T1
velisa	j e2_T1 l i_T1 s a1_T1
velisha	j e2_T1 l i_T3 x a1_T1
venezuela	j e1_T1 n e2_T1 u1_T1 e2_T1 l a1_T1
verghese	j o3_T1 g e1_T1 s e1_T1
vi	j i_T1
victoria	j i_T1 k t o2_T1 i_T1 a1_T1
video	j oi_T1 eo_T1
vietnam	j i_T1 e1_T3 t n a1_T1 m
vietnamese	j i_T1 e1_T3 t n a1_T1 m e1_T1 s e1_T1
vignesh	j i_T1 j i_T1 n e1_T3 t
villejuif	j i_T1 l l e1_T3 d1 ui_T1 e1_T3 ph
vinh	j i_T1 nh
virus	j i_T1 r u1_T1 s
visa	j i_T1 s a1_T1
visas	j i_T1 s a1_T1 s
visual	j i_T1 s u1_T1 a1_T1 n
viêm	j ie2_T1 m
viên	j ie2_T1 n
viết	j ie2_T1 t
viễn	j ie2_T1 n
việc	j ie2_T1 k
viện	j ie2_T1 n
việt	j ie2_T1 t
vịnh	j i_T1 nh
viếng	j ie2_T3 ng
